#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
14820.247056,5000,2776.959075
14791.228548,5000,2782.381453
14818.507938,5000,2786.966021
14816.163094,5000,2791.540241
14800.698379,5000,2796.975786
14793.941726,5000,2801.611379
14800.311658,5000,2807.02511
14814.856522,5000,2811.626838
14808.235977,5000,2817.16179
14813.482249,5000,2821.756822
14812.003162,5000,2827.098875
14806.873934,5000,2831.758459
14811.075895,5000,2836.315001
14804.773672,5000,2841.827845
14820.414116,5000,2846.473343
14803.100126,5000,2851.973049
14822.667922,5000,2856.575176
14824.487373,5000,2862.098536
14810.381249,5000,2867.099102
14818.936966,5000,2872.728857
14824.554031,5000,2877.379845
14804.200015,5000,2881.97321
14818.651969,5000,2887.460876
14817.962312,5000,2892.16071
14813.849474,5000,2897.607782
54.248956,39,2897.627662
14808.546175,5000,2902.264549
14808.250087,5000,2907.672799
14787.259153,5000,2912.335106
14799.651334,5000,2917.698153
14817.6819,5000,2922.292385
14816.139108,5000,2926.905683
14799.970794,5000,2932.403747
14788.560142,5000,2937.003247
14788.804871,5000,2942.443059
14801.500272,5000,2947.063384
14801.498458,5000,2952.521391
14828.261335,5000,2957.167436
14817.152778,5000,2961.737174
14826.595908,5000,2967.225048
14802.543385,5000,2971.817785
14804.835839,5000,2977.510035
14800.414333,5000,2982.193029
14798.765821,5000,2987.621962
14812.052303,5000,2992.203829
14798.246891,5000,2997.594604
14804.011249,5000,3002.399685
14784.636387,5000,3006.976533
14779.692241,5000,3012.370968
14798.039947,5000,3016.940589
14793.149445,5000,3022.373797
14816.096825,5000,3026.968597
14803.810391,5000,3032.473365
14808.447265,5000,3037.077705
14788.738575,5000,3042.502186
14788.920915,5000,3047.183382
14810.075858,5000,3051.791528
14810.718089,5000,3057.190113
14778.156923,5000,3061.795796
14805.285376,5000,3067.204376
14797.055912,5000,3071.879959
14807.62477,5000,3077.333317
14795.11345,5000,3081.979358
14799.516239,5000,3087.735767
14778.779934,5000,3092.673311
14818.249803,5000,3097.277186
14825.599673,5000,3102.71808
14812.786772,5000,3107.303605
14813.960245,5000,3112.756699
